Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.03025		-0.0269999		-1.90736e-06
0.0303		-0.0269999		0.0
0.03035		-0.0269999		0.0
0.0304		-0.0269999		0.0
0.03045		-0.0269999		0.0
0.0305		-0.0269999		0.0
0.03055		-0.0269999		1.90736e-06
0.0306		-0.0269999		0.0
0.03065		-0.0269999		0.0
0.0307		-0.0269999		-1.90736e-06
0.03075		-0.0269999		0.0
0.0308		-0.0269999		-1.90736e-06
0.03085		-0.0269999		0.0
0.0309		-0.0269999		0.0
0.03095		-0.0269999		0.0
0.031		-0.0269999		0.0
0.03105		-0.0269999		0.0
0.0311		-0.0269999		0.0
0.03115		-0.0269999		0.0
0.0312		-0.0269999		0.0
0.03125		-0.0269999		0.0
0.0313		-0.0269999		0.0
0.03135		-0.0269999		0.0
0.0314		-0.0269999		0.0
0.03145		-0.0269999		0.0
0.0315		-0.0269999		0.0
0.03155		-0.0269999		0.0
0.0316		-0.0269999		0.0
0.03165		-0.0269999		0.0
0.0317		-0.0269999		-1.90736e-06
0.03175		-0.0269999		-1.90736e-06
0.0318		-0.0269999		0.0
0.03185		-0.0269999		0.0
0.0319		-0.0269999		0.0
0.03195		-0.0269999		1.90736e-06
0.032		-0.0269999		1.90736e-06
0.03205		-0.0269999		1.90736e-06
0.0321		-0.0269999		1.90736e-06
0.03215		-0.0269999		1.90736e-06
0.0322		-0.0269999		1.90736e-06
0.03225		-0.0269999		1.90736e-06
0.0323		-0.0269999		0.0
0.03235		-0.0269999		1.90736e-06
0.0324		-0.0269999		0.0
0.03245		-0.0269999		0.0
0.0325		-0.0269999		0.0
0.03255		-0.0269999		0.0
0.0326		-0.0269999		0.0
0.03265		-0.0269999		0.0
0.0327		-0.0269999		-1.90736e-06
0.03275		-0.0269999		0.0
0.0328		-0.0269999		0.0
0.03285		-0.0269999		0.0
0.0329		-0.0269999		0.0
0.03295		-0.0269999		0.0
0.033		-0.0269999		0.0
0.03305		-0.0269999		0.0
0.0331		-0.0269999		0.0
0.03315		-0.0269999		0.0
0.0332		-0.0269999		0.0
0.03325		-0.0269999		0.0
0.0333		-0.0269999		0.0
0.03335		-0.0269999		0.0
0.0334		-0.0269999		0.0
0.03345		-0.0269999		0.0
0.0335		-0.0269999		0.0
0.03355		-0.0269999		0.0
0.0336		-0.0269999		0.0
0.03365		-0.0269999		0.0
0.0337		-0.0269999		0.0
0.03375		-0.0269999		0.0
0.0338		-0.0269999		0.0
0.03385		-0.0269999		0.0
0.0339		-0.0269999		-1.90736e-06
0.03395		-0.0269999		0.0
0.034		-0.0269999		-1.90736e-06
0.03405		-0.0269999		-1.90736e-06
0.0341		-0.0269999		-1.90736e-06
0.03415		-0.0269999		0.0
0.0342		-0.0269999		0.0
0.03425		-0.0269999		0.0
0.0343		-0.0269999		0.0
0.03435		-0.0269999		0.0
0.0344		-0.0269999		0.0
0.03445		-0.0269999		0.0
0.0345		-0.0269999		0.0
0.03455		-0.0269999		0.0
0.0346		-0.0269999		0.0
0.03465		-0.0269999		0.0
0.0347		-0.0269999		0.0
0.03475		-0.0269999		0.0
0.0348		-0.0269999		0.0
0.03485		-0.0269999		0.0
0.0349		-0.0269999		0.0
0.03495		-0.0269999		0.0
0.035		-0.0269999		0.0
0.03505		-0.0269999		0.0
0.0351		-0.0269999		0.0
0.03515		-0.0269999		0.0
0.0352		-0.0269999		0.0
0.03525		-0.0269999		0.0
0.0353		-0.0269999		0.0
0.03535		-0.0269999		0.0
0.0354		-0.0269999		-1.90736e-06
0.03545		-0.0269999		-1.90736e-06
0.0355		-0.0269999		0.0
0.03555		-0.0269999		0.0
0.0356		-0.0269999		0.0
0.03565		-0.0269999		0.0
0.0357		-0.0269999		0.0
0.03575		-0.0269999		0.0
0.0358		-0.0269999		-1.90736e-06
0.03585		-0.0269999		0.0
0.0359		-0.0269999		0.0
0.03595		-0.0269999		0.0
0.036		-0.0269999		0.0
0.03605		-0.0269999		0.0
0.0361		-0.0269999		0.0
0.03615		-0.0269999		0.0
0.0362		-0.0269999		0.0
0.03625		-0.0269999		-1.90736e-06
0.0363		-0.0269999		0.0
0.03635		-0.0269999		0.0
0.0364		-0.0269999		0.0
0.03645		-0.0269999		0.0
0.0365		-0.0269999		0.0
0.03655		-0.0269999		0.0
0.0366		-0.0269999		-1.90736e-06
0.03665		-0.0269999		-1.90736e-06
0.0367		-0.0269999		0.0
0.03675		-0.0269999		0.0
0.0368		-0.0269999		0.0
0.03685		-0.0269999		0.0
0.0369		-0.0269999		0.0
0.03695		-0.0269999		0.0
0.037		-0.0269999		0.0
0.03705		-0.0269999		0.0
0.0371		-0.0269999		0.0
0.03325		-0.0274999		0.0
0.0332		-0.0274999		-1.90736e-06
0.03315		-0.0274999		0.0
0.0331		-0.0274999		-1.90736e-06
0.03305		-0.0274999		0.0
0.033		-0.0274999		0.0
0.03295		-0.0274999		0.0
0.0329		-0.0274999		0.0
0.03285		-0.0274999		-1.90736e-06
0.0328		-0.0274999		0.0
0.03275		-0.0274999		0.0
0.0327		-0.0274999		0.0
0.03265		-0.0274999		0.0
0.0326		-0.0274999		0.0
0.03255		-0.0274999		0.0
0.0325		-0.0274999		0.0
0.03245		-0.0274999		0.0
0.0324		-0.0274999		0.0
0.03235		-0.0274999		0.0
0.0323		-0.0274999		1.90736e-06
0.03225		-0.0274999		3.81473e-06
0.0322		-0.0274999		5.72208e-06
0.03215		-0.0274999		3.81473e-06
0.0321		-0.0274999		3.81473e-06
0.03205		-0.0274999		5.72208e-06
0.032		-0.0274999		1.90736e-06
0.03195		-0.0274999		1.90736e-06
0.0319		-0.0274999		0.0
0.03185		-0.0274999		0.0
0.0318		-0.0274999		0.0
0.03175		-0.0274999		0.0
0.0317		-0.0274999		0.0
0.03165		-0.0274999		0.0
0.0316		-0.0274999		0.0
0.03155		-0.0274999		0.0
0.0315		-0.0274999		0.0
0.03145		-0.0274999		-1.90736e-06
0.0314		-0.0274999		0.0
0.03135		-0.0274999		0.0
0.0313		-0.0274999		0.0
0.03125		-0.0274999		0.0
0.0312		-0.0274999		-1.90736e-06
0.03115		-0.0274999		-1.90736e-06
0.0311		-0.0274999		0.0
0.03105		-0.0274999		-1.90736e-06
0.031		-0.0274999		0.0
0.03095		-0.0274999		0.0
0.0309		-0.0274999		0.0
0.03085		-0.0274999		0.0
0.0308		-0.0274999		0.0
0.03075		-0.0274999		0.0
0.0307		-0.0274999		0.0
0.03065		-0.0274999		0.0
0.0306		-0.0274999		0.0
0.03055		-0.0274999		0.0
0.0305		-0.0274999		0.0
0.03045		-0.0274999		0.0
0.0304		-0.0274999		0.0
0.03035		-0.0274999		0.0
0.0303		-0.0274999		0.0
0.03025		-0.0274999		0.0
0.0302		-0.0274999		0.0
0.03015		-0.0274999		-1.90736e-06
0.0301		-0.0274999		0.0
0.03005		-0.0274999		0.0
0.03		-0.0274999		-1.90736e-06
0.02995		-0.0274999		0.0
0.0299		-0.0274999		0.0
0.02985		-0.0274999		0.0
0.0298		-0.0274999		-1.90736e-06
0.02975		-0.0274999		0.0
0.0297		-0.0274999		0.0
0.02965		-0.0274999		0.0
0.0296		-0.0274999		0.0
0.02955		-0.0274999		0.0
0.0295		-0.0274999		0.0
0.02945		-0.0274999		0.0
0.0294		-0.0274999		0.0
0.02935		-0.0274999		-1.90736e-06
0.0293		-0.0274999		0.0
0.02925		-0.0274999		0.0
0.0292		-0.0274999		-1.90736e-06
0.02915		-0.0274999		0.0
0.0291		-0.0274999		0.0
0.02905		-0.0274999		-1.90736e-06
0.029		-0.0274999		0.0
0.02895		-0.0274999		0.0
0.0289		-0.0274999		0.0
0.02885		-0.0274999		0.0
0.0288		-0.0274999		0.0
0.02875		-0.0274999		-1.90736e-06
0.0287		-0.0274999		-3.81473e-06
0.02865		-0.0274999		0.0
0.0286		-0.0274999		0.0
0.02855		-0.0274999		0.0
0.0285		-0.0274999		0.0
0.02845		-0.0274999		0.0
0.0284		-0.0274999		-1.90736e-06
0.02835		-0.0274999		0.0
0.0283		-0.0274999		0.0
0.02825		-0.0274999		0.0
0.0282		-0.0274999		0.0
0.02815		-0.0274999		-1.90736e-06
0.0281		-0.0274999		-1.90736e-06
0.02805		-0.0274999		0.0
0.028		-0.0274999		0.0
0.02795		-0.0274999		0.0
0.0279		-0.0274999		0.0
0.02785		-0.0274999		0.0
0.0278		-0.0274999		0.0
0.02775		-0.0274999		0.0
0.0277		-0.0274999		0.0
0.02765		-0.0274999		-1.90736e-06
0.0276		-0.0274999		0.0
0.02755		-0.0274999		0.0
0.0275		-0.0274999		0.0
0.02745		-0.0274999		0.0
0.0274		-0.0274999		0.0
0.02735		-0.0274999		0.0
0.0273		-0.0274999		0.0
0.02725		-0.0274999		0.0
0.0272		-0.0274999		0.0
0.02715		-0.0274999		0.0
0.0271		-0.0274999		0.0
0.02705		-0.0274999		0.0
0.027		-0.0274999		0.0
0.02695		-0.0274999		0.0
0.0269		-0.0274999		0.0
0.02685		-0.0274999		0.0
0.0268		-0.0274999		0.0
0.02675		-0.0274999		0.0
0.0267		-0.0274999		0.0
0.02665		-0.0274999		1.90736e-06
0.0266		-0.0274999		0.0
0.02655		-0.0274999		0.0
0.0265		-0.0274999		0.0
0.02645		-0.0274999		0.0
0.0264		-0.0274999		0.0
0.02635		-0.0274999		0.0
0.0263		-0.0274999		0.0
0.02625		-0.0274999		0.0
0.0262		-0.0274999		0.0
0.02615		-0.0274999		0.0
0.0261		-0.0274999		0.0
0.02605		-0.0274999		0.0
0.026		-0.0274999		0.0
0.02595		-0.0274999		0.0
0.0259		-0.0274999		0.0
0.02585		-0.0274999		0.0
0.0258		-0.0274999		0.0
0.02575		-0.0274999		0.0
0.0257		-0.0274999		0.0
0.02565		-0.0274999		0.0
0.0256		-0.0274999		0.0
0.02555		-0.0274999		0.0
0.0255		-0.0274999		0.0
0.02545		-0.0274999		0.0
0.0254		-0.0274999		0.0
0.02535		-0.0274999		0.0
0.0253		-0.0274999		0.0
0.02525		-0.0274999		0.0
0.0252		-0.0274999		0.0
0.02515		-0.0274999		0.0
0.0251		-0.0274999		0.0
0.02505		-0.0274999		0.0
0.025		-0.0274999		1.90736e-06
0.02495		-0.0274999		-1.90736e-06
0.0249		-0.0274999		0.0
0.02485		-0.0274999		0.0
0.0248		-0.0274999		0.0
0.02475		-0.0274999		0.0
0.0247		-0.0274999		0.0
0.02465		-0.0274999		0.0
0.0246		-0.0274999		0.0
0.02455		-0.0274999		-1.90736e-06
0.0245		-0.0274999		0.0
0.02445		-0.0274999		-1.90736e-06
0.0244		-0.0274999		0.0
0.02435		-0.0274999		0.0
0.0243		-0.0274999		0.0
0.02425		-0.0274999		0.0
0.0242		-0.0274999		0.0
0.02415		-0.0274999		0.0
0.0241		-0.0274999		0.0
0.02405		-0.0274999		0.0
0.024		-0.0274999		0.0
0.02395		-0.0274999		0.0
0.0239		-0.0274999		0.0
0.02385		-0.0274999		0.0
0.0238		-0.0274999		0.0
0.02375		-0.0274999		0.0
0.0237		-0.0274999		0.0
0.02365		-0.0274999		0.0
0.0236		-0.0274999		0.0
0.02355		-0.0274999		0.0
0.0235		-0.0274999		0.0
0.02345		-0.0274999		-1.90736e-06
0.0234		-0.0274999		0.0
0.02335		-0.0274999		0.0
0.0233		-0.0274999		0.0
0.02325		-0.0274999		0.0
0.0272		-0.0279999		0.0
0.02725		-0.0279999		0.0
0.0273		-0.0279999		0.0
0.02735		-0.0279999		0.0
0.0274		-0.0279999		0.0
0.02745		-0.0279999		0.0
0.0275		-0.0279999		0.0
0.02755		-0.0279999		0.0
0.0276		-0.0279999		0.0
0.02765		-0.0279999		0.0
0.0277		-0.0279999		-1.90736e-06
0.02775		-0.0279999		0.0
0.0278		-0.0279999		0.0
0.02785		-0.0279999		-1.90736e-06
0.0279		-0.0279999		-1.90736e-06
0.02795		-0.0279999		1.90736e-06
0.028		-0.0279999		0.0
0.02805		-0.0279999		0.0
0.0281		-0.0279999		0.0
0.02815		-0.0279999		-1.90736e-06
0.0282		-0.0279999		0.0
0.02825		-0.0279999		0.0
0.0283		-0.0279999		0.0
0.02835		-0.0279999		0.0
0.0284		-0.0279999		-1.90736e-06
0.02845		-0.0279999		0.0
0.0285		-0.0279999		0.0
0.02855		-0.0279999		-1.90736e-06
0.0286		-0.0279999		-1.90736e-06
0.02865		-0.0279999		-1.90736e-06
0.0287		-0.0279999		0.0
0.02875		-0.0279999		0.0
0.0288		-0.0279999		0.0
0.02885		-0.0279999		-1.90736e-06
0.0289		-0.0279999		0.0
0.02895		-0.0279999		0.0
0.029		-0.0279999		0.0
0.02905		-0.0279999		0.0
0.0291		-0.0279999		0.0
0.02915		-0.0279999		0.0
0.0292		-0.0279999		0.0
0.02925		-0.0279999		-1.90736e-06
0.0293		-0.0279999		0.0
0.02935		-0.0279999		0.0
0.0294		-0.0279999		0.0
0.02945		-0.0279999		0.0
0.0295		-0.0279999		-1.90736e-06
0.02955		-0.0279999		-1.90736e-06
0.0296		-0.0279999		-1.90736e-06
0.02965		-0.0279999		0.0
0.0297		-0.0279999		0.0
0.02975		-0.0279999		-1.90736e-06
0.0298		-0.0279999		0.0
0.02985		-0.0279999		-1.90736e-06
0.0299		-0.0279999		0.0
0.02995		-0.0279999		0.0
0.03		-0.0279999		0.0
0.03005		-0.0279999		0.0
0.0301		-0.0279999		0.0
0.03015		-0.0279999		0.0
0.0302		-0.0279999		0.0
0.03025		-0.0279999		0.0
0.0303		-0.0279999		0.0
0.03035		-0.0279999		0.0
0.0304		-0.0279999		0.0
0.03045		-0.0279999		0.0
0.0305		-0.0279999		0.0
0.03055		-0.0279999		-1.90736e-06
0.0306		-0.0279999		0.0
0.03065		-0.0279999		0.0
0.0307		-0.0279999		0.0
0.03075		-0.0279999		0.0
0.0308		-0.0279999		0.0
0.03085		-0.0279999		0.0
0.0309		-0.0279999		0.0
0.03095		-0.0279999		0.0
0.031		-0.0279999		0.0
0.03105		-0.0279999		-1.90736e-06
0.0311		-0.0279999		0.0
0.03115		-0.0279999		0.0
0.0312		-0.0279999		-1.90736e-06
0.03125		-0.0279999		-1.90736e-06
0.0313		-0.0279999		0.0
0.03135		-0.0279999		0.0
0.0314		-0.0279999		0.0
0.03145		-0.0279999		0.0
0.0315		-0.0279999		0.0
0.03155		-0.0279999		0.0
0.0316		-0.0279999		0.0
0.03165		-0.0279999		0.0
0.0317		-0.0279999		0.0
0.03175		-0.0279999		0.0
0.0318		-0.0279999		0.0
0.03185		-0.0279999		0.0
0.0319		-0.0279999		0.0
0.03195		-0.0279999		1.90736e-06
0.032		-0.0279999		5.72208e-06
0.03205		-0.0279999		1.90736e-06
0.0321		-0.0279999		3.81473e-06
0.03215		-0.0279999		1.90736e-06
0.0322		-0.0279999		3.81473e-06
0.03225		-0.0279999		1.90736e-06
0.0323		-0.0279999		1.90736e-06
0.03235		-0.0279999		1.90736e-06
0.0324		-0.0279999		0.0
0.03245		-0.0279999		0.0
0.0325		-0.0279999		0.0
0.03255		-0.0279999		0.0
0.0326		-0.0279999		0.0
0.03265		-0.0279999		0.0
0.0327		-0.0279999		0.0
0.03275		-0.0279999		0.0
0.0328		-0.0279999		0.0
0.03285		-0.0279999		0.0
0.0329		-0.0279999		-1.90736e-06
0.03295		-0.0279999		0.0
0.033		-0.0279999		-1.90736e-06
0.03305		-0.0279999		0.0
0.0331		-0.0279999		0.0
0.03315		-0.0279999		0.0
0.0332		-0.0279999		0.0
0.03325		-0.0279999		0.0
0.0333		-0.0279999		1.90736e-06
0.03335		-0.0279999		0.0
0.0334		-0.0279999		0.0
0.03345		-0.0279999		0.0
0.0335		-0.0279999		0.0
0.03355		-0.0279999		0.0
0.0336		-0.0279999		0.0
0.03365		-0.0279999		0.0
0.0337		-0.0279999		-1.90736e-06
0.03375		-0.0279999		0.0
0.0338		-0.0279999		-1.90736e-06
0.03385		-0.0279999		0.0
0.0339		-0.0279999		0.0
0.03395		-0.0279999		0.0
0.034		-0.0279999		0.0
0.03405		-0.0279999		-1.90736e-06
0.0341		-0.0279999		0.0
0.03415		-0.0279999		0.0
0.0342		-0.0279999		0.0
0.03425		-0.0279999		-1.90736e-06
0.0343		-0.0279999		0.0
0.03435		-0.0279999		0.0
0.0344		-0.0279999		0.0
0.03445		-0.0279999		0.0
0.0345		-0.0279999		0.0
0.03455		-0.0279999		0.0
0.0346		-0.0279999		0.0
0.03465		-0.0279999		0.0
0.0347		-0.0279999		0.0
0.03475		-0.0279999		0.0
0.0348		-0.0279999		0.0
0.03485		-0.0279999		0.0
0.0349		-0.0279999		0.0
0.03495		-0.0279999		0.0
0.035		-0.0279999		-1.90736e-06
0.03505		-0.0279999		-1.90736e-06
0.0351		-0.0279999		0.0
0.03515		-0.0279999		0.0
0.0352		-0.0279999		0.0
0.03525		-0.0279999		0.0
0.0353		-0.0279999		0.0
0.03535		-0.0279999		0.0
0.0354		-0.0279999		0.0
0.03545		-0.0279999		0.0
0.0355		-0.0279999		0.0
0.03555		-0.0279999		0.0
0.0356		-0.0279999		0.0
0.03565		-0.0279999		0.0
0.0357		-0.0279999		-1.90736e-06
0.03575		-0.0279999		-1.90736e-06
0.0358		-0.0279999		0.0
0.03585		-0.0279999		-1.90736e-06
0.0359		-0.0279999		0.0
0.03595		-0.0279999		-1.90736e-06
0.036		-0.0279999		0.0
0.03605		-0.0279999		0.0
0.0361		-0.0279999		0.0
0.03615		-0.0279999		-1.90736e-06
0.0362		-0.0279999		0.0
0.03625		-0.0279999		-1.90736e-06
0.0363		-0.0279999		0.0
0.03635		-0.0279999		0.0
0.0364		-0.0279999		0.0
0.03645		-0.0279999		0.0
0.0365		-0.0279999		0.0
0.03655		-0.0279999		0.0
0.0366		-0.0279999		0.0
0.03665		-0.0279999		-1.90736e-06
0.0367		-0.0279999		0.0
0.03675		-0.0279999		0.0
0.0368		-0.0279999		-1.90736e-06
0.03685		-0.0279999		0.0
0.0369		-0.0279999		0.0
0.03695		-0.0279999		-1.90736e-06
0.037		-0.0279999		0.0
0.03705		-0.0279999		0.0
0.0371		-0.0279999		0.0
0.03715		-0.0279999		0.0
0.0372		-0.0279999		0.0
0.037		-0.0285		0.0
0.03695		-0.0285		0.0
0.0369		-0.0285		0.0
0.03685		-0.0285		0.0
0.0368		-0.0285		0.0
0.03675		-0.0285		0.0
0.0367		-0.0285		-1.90736e-06
0.03665		-0.0285		0.0
0.0366		-0.0285		0.0
0.03655		-0.0285		-1.90736e-06
0.0365		-0.0285		0.0
0.03645		-0.0285		-1.90736e-06
0.0364		-0.0285		0.0
0.03635		-0.0285		0.0
0.0363		-0.0285		0.0
0.03625		-0.0285		0.0
0.0362		-0.0285		0.0
0.03615		-0.0285		0.0
0.0361		-0.0285		0.0
0.03605		-0.0285		0.0
0.036		-0.0285		0.0
0.03595		-0.0285		0.0
0.0359		-0.0285		0.0
0.03585		-0.0285		0.0
0.0358		-0.0285		0.0
0.03575		-0.0285		0.0
0.0357		-0.0285		0.0
0.03565		-0.0285		0.0
0.0356		-0.0285		0.0
0.03555		-0.0285		0.0
0.0355		-0.0285		0.0
0.03545		-0.0285		0.0
0.0354		-0.0285		0.0
0.03535		-0.0285		-1.90736e-06
0.0353		-0.0285		0.0
0.03525		-0.0285		0.0
0.0352		-0.0285		0.0
0.03515		-0.0285		-1.90736e-06
0.0351		-0.0285		0.0
0.03505		-0.0285		0.0
0.035		-0.0285		0.0
0.03495		-0.0285		0.0
0.0349		-0.0285		0.0
0.03485		-0.0285		0.0
0.0348		-0.0285		0.0
0.03475		-0.0285		0.0
0.0347		-0.0285		0.0
0.03465		-0.0285		0.0
0.0346		-0.0285		0.0
0.03455		-0.0285		0.0
0.0345		-0.0285		-1.90736e-06
0.03445		-0.0285		0.0
0.0344		-0.0285		0.0
0.03435		-0.0285		0.0
0.0343		-0.0285		0.0
0.03425		-0.0285		0.0
0.0342		-0.0285		-1.90736e-06
0.03415		-0.0285		-1.90736e-06
0.0341		-0.0285		-1.90736e-06
0.03405		-0.0285		0.0
0.034		-0.0285		0.0
0.03395		-0.0285		0.0
0.0339		-0.0285		0.0
0.03385		-0.0285		0.0
0.0338		-0.0285		0.0
0.03375		-0.0285		0.0
0.0337		-0.0285		0.0
0.03365		-0.0285		-1.90736e-06
0.0336		-0.0285		0.0
0.03355		-0.0285		0.0
0.0335		-0.0285		-1.90736e-06
0.03345		-0.0285		0.0
0.0334		-0.0285		0.0
0.03335		-0.0285		0.0
0.0333		-0.0285		0.0
0.03325		-0.0285		0.0
0.0332		-0.0285		0.0
0.03315		-0.0285		0.0
0.0331		-0.0285		0.0
0.03305		-0.0285		0.0
0.033		-0.0285		0.0
0.03295		-0.0285		0.0
0.0329		-0.0285		0.0
0.03285		-0.0285		0.0
0.0328		-0.0285		0.0
0.03275		-0.0285		0.0
0.0327		-0.0285		0.0
0.03265		-0.0285		0.0
0.0326		-0.0285		0.0
0.03255		-0.0285		0.0
0.0325		-0.0285		0.0
0.03245		-0.0285		0.0
0.0324		-0.0285		0.0
0.03235		-0.0285		1.90736e-06
0.0323		-0.0285		1.90736e-06
0.03225		-0.0285		1.90736e-06
0.0322		-0.0285		1.90736e-06
0.03215		-0.0285		1.90736e-06
0.0321		-0.0285		0.0
0.03205		-0.0285		3.81473e-06
0.032		-0.0285		0.0
0.03195		-0.0285		0.0
0.0319		-0.0285		1.90736e-06
0.03185		-0.0285		0.0
0.0318		-0.0285		3.81473e-06
0.03175		-0.0285		0.0
0.0317		-0.0285		1.90736e-06
0.03165		-0.0285		0.0
0.0316		-0.0285		0.0
0.03155		-0.0285		0.0
0.0315		-0.0285		0.0
0.03145		-0.0285		0.0
0.0314		-0.0285		0.0
0.03135		-0.0285		0.0
0.0313		-0.0285		-1.90736e-06
0.03125		-0.0285		0.0
0.0312		-0.0285		0.0
0.03115		-0.0285		0.0
0.0311		-0.0285		0.0
0.03105		-0.0285		0.0
0.031		-0.0285		0.0
0.03095		-0.0285		0.0
0.0309		-0.0285		0.0
0.03085		-0.0285		1.90736e-06
0.0308		-0.0285		0.0
0.03075		-0.0285		0.0
0.0307		-0.0285		0.0
0.03065		-0.0285		0.0
0.0306		-0.0285		0.0
0.03055		-0.0285		0.0
0.0305		-0.0285		0.0
0.03045		-0.0285		0.0
0.0304		-0.0285		0.0
0.03035		-0.0285		0.0
0.0303		-0.0285		0.0
0.03025		-0.0285		0.0
0.0302		-0.0285		0.0
0.03015		-0.0285		0.0
0.0301		-0.0285		0.0
0.03005		-0.0285		0.0
0.03		-0.0285		0.0
0.02995		-0.0285		1.90736e-06
0.0299		-0.0285		0.0
0.02985		-0.0285		0.0
0.0298		-0.0285		0.0
0.02975		-0.0285		0.0
0.0297		-0.0285		0.0
0.02965		-0.0285		0.0
0.0296		-0.0285		0.0
0.02955		-0.0285		0.0
0.0295		-0.0285		0.0
0.02945		-0.0285		0.0
0.0294		-0.0285		-1.90736e-06
0.02935		-0.0285		0.0
0.0293		-0.0285		0.0
0.02925		-0.0285		-1.90736e-06
0.0292		-0.0285		0.0
0.02915		-0.0285		0.0
0.0291		-0.0285		0.0
0.02905		-0.0285		0.0
0.029		-0.0285		1.90736e-06
0.02895		-0.0285		0.0
0.0289		-0.0285		-1.90736e-06
0.02885		-0.0285		0.0
0.0288		-0.0285		-1.90736e-06
0.02875		-0.0285		0.0
0.0287		-0.0285		0.0
0.02865		-0.0285		0.0
0.0286		-0.0285		-1.90736e-06
0.02855		-0.0285		0.0
0.0285		-0.0285		0.0
0.02845		-0.0285		0.0
0.0284		-0.0285		0.0
0.02835		-0.0285		-1.90736e-06
0.0283		-0.0285		0.0
0.02825		-0.0285		0.0
0.0282		-0.0285		-1.90736e-06
0.02815		-0.0285		-1.90736e-06
0.0281		-0.0285		0.0
0.02805		-0.0285		0.0
0.028		-0.0285		0.0
0.02795		-0.0285		0.0
0.0279		-0.0285		0.0
0.02785		-0.0285		0.0
0.0278		-0.0285		-1.90736e-06
0.02775		-0.0285		0.0
0.0277		-0.0285		0.0
0.02765		-0.0285		0.0
0.0276		-0.0285		0.0
0.02755		-0.0285		0.0
0.0275		-0.0285		0.0
0.02745		-0.0285		0.0
0.0274		-0.0285		0.0
0.02735		-0.0285		0.0
0.0273		-0.0285		0.0
0.02725		-0.0285		0.0
0.0272		-0.0285		0.0
0.02715		-0.0285		0.0
0.0271		-0.0285		0.0
0.02705		-0.0285		0.0
0.027		-0.0285		0.0
0.02705		-0.0289999		0.0
0.0271		-0.0289999		0.0
0.02715		-0.0289999		0.0
0.0272		-0.0289999		0.0
0.02725		-0.0289999		0.0
0.0273		-0.0289999		0.0
0.02735		-0.0289999		0.0
0.0274		-0.0289999		0.0
0.02745		-0.0289999		0.0
0.0275		-0.0289999		0.0
0.02755		-0.0289999		1.90736e-06
0.0276		-0.0289999		0.0
0.02765		-0.0289999		0.0
0.0277		-0.0289999		0.0
0.02775		-0.0289999		0.0
0.0278		-0.0289999		0.0
0.02785		-0.0289999		0.0
0.0279		-0.0289999		0.0
0.02795		-0.0289999		0.0
0.028		-0.0289999		0.0
0.02805		-0.0289999		-1.90736e-06
0.0281		-0.0289999		0.0
0.02815		-0.0289999		-1.90736e-06
0.0282		-0.0289999		-1.90736e-06
0.02825		-0.0289999		-1.90736e-06
0.0283		-0.0289999		-1.90736e-06
0.02835		-0.0289999		0.0
0.0284		-0.0289999		-1.90736e-06
0.02845		-0.0289999		0.0
0.0285		-0.0289999		0.0
0.02855		-0.0289999		0.0
0.0286		-0.0289999		-1.90736e-06
0.02865		-0.0289999		0.0
0.0287		-0.0289999		-1.90736e-06
0.02875		-0.0289999		-1.90736e-06
0.0288		-0.0289999		0.0
0.02885		-0.0289999		0.0
0.0289		-0.0289999		0.0
0.02895		-0.0289999		0.0
0.029		-0.0289999		0.0
0.02905		-0.0289999		-1.90736e-06
0.0291		-0.0289999		0.0
0.02915		-0.0289999		-1.90736e-06
0.0292		-0.0289999		-1.90736e-06
0.02925		-0.0289999		0.0
0.0293		-0.0289999		0.0
0.02935		-0.0289999		-1.90736e-06
0.0294		-0.0289999		0.0
0.02945		-0.0289999		0.0
0.0295		-0.0289999		0.0
0.02955		-0.0289999		0.0
0.0296		-0.0289999		0.0
0.02965		-0.0289999		0.0
0.0297		-0.0289999		0.0
0.02975		-0.0289999		0.0
0.0298		-0.0289999		-1.90736e-06
0.02985		-0.0289999		-1.90736e-06
0.0299		-0.0289999		0.0
0.02995		-0.0289999		-1.90736e-06
0.03		-0.0289999		0.0
0.03005		-0.0289999		0.0
0.0301		-0.0289999		0.0
0.03015		-0.0289999		0.0
0.0302		-0.0289999		0.0
0.03025		-0.0289999		0.0
0.0303		-0.0289999		0.0
0.03035		-0.0289999		0.0
0.0304		-0.0289999		-1.90736e-06
0.03045		-0.0289999		0.0
0.0305		-0.0289999		0.0
0.03055		-0.0289999		0.0
0.0306		-0.0289999		0.0
0.03065		-0.0289999		0.0
0.0307		-0.0289999		0.0
0.03075		-0.0289999		0.0
0.0308		-0.0289999		0.0
0.03085		-0.0289999		0.0
0.0309		-0.0289999		0.0
0.03095		-0.0289999		0.0
0.031		-0.0289999		0.0
0.03105		-0.0289999		0.0
0.0311		-0.0289999		0.0
0.03115		-0.0289999		-1.90736e-06
0.0312		-0.0289999		0.0
0.03125		-0.0289999		0.0
0.0313		-0.0289999		0.0
0.03135		-0.0289999		0.0
0.0314		-0.0289999		0.0
0.03145		-0.0289999		0.0
0.0315		-0.0289999		0.0
0.03155		-0.0289999		0.0
0.0316		-0.0289999		1.90736e-06
0.03165		-0.0289999		0.0
0.0317		-0.0289999		0.0
0.03175		-0.0289999		0.0
0.0318		-0.0289999		0.0
0.03185		-0.0289999		0.0
